bodyId,super
200326126,INP
202916528,SNP
203253072,SNP
203253253,SNP
203257652,SNP
203594169,SNP
203594175,SNP
203598499,CX
203598504,SNP
203598542,SNP
203598557,SNP
203931040,SNP
204613133,CX
204962646,CX
204962969,SNP
205299889,CX
206555682,SNP
232513628,VMNP
232513671,NotPrimary
233105330,SNP
233877926,NotPrimary
234292899,CX
235985275,CX
236330337,CX
236331138,CX
262167456,NotPrimary
262504004,NotPrimary
262517074,NotPrimary
262840563,NotPrimary
263199096,VMNP
263475451,SNP
263522664,VMNP
263674097,SNP
264014957,SNP
264083994,SNP
264438143,SNP
264779403,SNP
264783939,SNP
264822904,SNP
264986706,SNP
265120223,SNP
265120324,SNP
265120424,SNP
265120467,SNP
265120589,SNP
265120597,CX
265120677,CX
265124786,SNP
265155147,SNP
265655867,CX
266187342,SNP
266187383,SNP
266187477,SNP
266187480,SNP
266187532,SNP
266187559,SNP
266191395,SNP
266191407,SNP
266200011,SNP
266527996,SNP
266528044,SNP
266528078,SNP
266528086,SNP
266536576,CX
266626740,SNP
266691460,SNP
266847236,SNP
266873389,SNP
266873401,SNP
266873591,SNP
267214250,SNP
267223027,SNP
267223104,SNP
267227062,SNP
267304783,SNP
267551639,SNP
267559575,SNP
267559665,SNP
267564140,SNP
267572587,SNP
267896359,SNP
267896360,SNP
267900632,SNP
268237554,SNP
268725517,MB
268731005,INP
270322941,SNP
294161385,INP
294424196,SNP
294428266,SNP
294432626,SNP
294432760,SNP
294436967,SNP
294437328,SNP
294437347,SNP
294441510,SNP
294445804,SNP
294445931,SNP
294450004,SNP
294450495,CX
294756576,SNP
294760680,SNP
294760699,SNP
294760723,SNP
294760837,SNP
294773987,SNP
294774719,SNP
294774792,SNP
294778999,SNP
294782432,SNP
294782488,SNP
294783216,SNP
294783423,SNP
294786630,SNP
294786785,SNP
294787849,SNP
294791509,CX
294791642,SNP
294792184,SNP
294792311,SNP
294792344,SNP
294795822,SNP
294795963,SNP
294799968,SNP
294800293,CX
295063181,SNP
295103172,SNP
295106899,SNP
295107514,SNP
295111672,SNP
295111734,SNP
295115222,SNP
295115429,SNP
295115628,SNP
295115794,SNP
295116165,SNP
295116205,CX
295119694,SNP
295120601,SNP
295120620,SNP
295124412,SNP
295127956,SNP
295132077,SNP
295132487,SNP
295132551,SNP
295132845,SNP
295133015,SNP
295133452,CX
295133743,SNP
295133778,SNP
295133902,SNP
295133927,SNP
295136450,SNP
295136668,SNP
295136778,CX
295136965,CX
295137019,SNP
295137392,SNP
295137515,SNP
295141570,CX
295141618,CX
295434457,SNP
295439322,SNP
295443136,SNP
295443724,SNP
295456248,SNP
295456869,SNP
295461302,SNP
295461534,SNP
295461570,SNP
295461707,SNP
295461871,SNP
295466276,SNP
295470623,SNP
295470816,SNP
295473400,SNP
295473813,CX
295473947,SNP
295474250,SNP
295474441,CX
295474876,CX
295477467,SNP
295477903,CX
295478082,SNP
295478389,SNP
295482340,SNP
295482551,SNP
295482578,SNP
295482646,SNP
295490804,SNP
295490863,SNP
295779879,SNP
295779961,SNP
295780154,SNP
295785459,SNP
295793991,SNP
295797312,SNP
295798962,SNP
295799057,SNP
295802733,SNP
295805243,SNP
295807109,SNP
295807429,SNP
295814411,SNP
295814565,SNP
295814630,SNP
295814895,SNP
295814932,SNP
295815100,SNP
295815897,CX
295815955,SNP
295816140,SNP
295819960,CX
295819998,SNP
295820056,SNP
295820069,CX
295820085,CX
295823782,SNP
295827899,SNP
295828029,SNP
295849217,SNP
295849410,SNP
296120593,SNP
296139882,SNP
296143798,CX
296143923,SNP
296148102,SNP
296153150,SNP
296153261,SNP
296155122,CX
296156918,CX
296160764,CX
296164879,SNP
296168382,SNP
296194535,SNP
296199021,SNP
296199026,SNP
296199149,SNP
296203324,SNP
296203325,SNP
296203392,SNP
296203434,SNP
296203440,SNP
296203608,SNP
296203623,SNP
296489073,SNP
296496999,SNP
296497316,CX
296501634,SNP
296502002,SNP
296502294,SNP
296505463,SNP
296509709,SNP
296514350,CX
296531366,SNP
296531421,SNP
296535619,SNP
296535655,SNP
296535868,SNP
296543992,SNP
296544262,SNP
296544364,SNP
296690817,SNP
296829531,SNP
296837846,SNP
296838079,CX
296838229,SNP
296838734,SNP
296841676,SNP
296842335,SNP
296843037,SNP
296846109,SNP
296846314,SNP
296846768,SNP
296850634,SNP
296851132,SNP
296851235,INP
296851261,CX
296855409,CX
296855477,SNP
296859399,SNP
296859438,SNP
296863817,SNP
296867934,SNP
296868077,SNP
296872298,SNP
296872415,SNP
296880800,CX
296885362,SNP
297165904,SNP
297166053,CX
297166197,SNP
297178509,SNP
297179343,SNP
297183244,SNP
297183251,CX
297192193,SNP
297192204,SNP
297196636,SNP
297217528,SNP
297221971,SNP
297230760,SNP
297239396,NotPrimary
297243542,SNP
297247801,SNP
297251714,SNP
297251765,SNP
297498027,SNP
297502392,SNP
297519736,SNP
297519807,SNP
297519815,SNP
297519843,SNP
297519947,SNP
297520036,SNP
297524212,SNP
297528119,SNP
297528741,SNP
297533212,SNP
297541369,SNP
297558862,SNP
297563139,SNP
297563270,SNP
297572076,VLNP
297572235,SNP
297580512,SNP
297580589,SNP
297584752,SNP
297584869,SNP
297588775,SNP
297588821,SNP
297588838,SNP
297588882,SNP
297588995,SNP
297593055,SNP
297713859,SNP
297851977,SNP
297856167,SNP
297860327,SNP
297860627,SNP
297869179,SNP
297899921,SNP
297908595,CX
297908801,SNP
297912117,SNP
297917158,SNP
297917363,SNP
297917364,SNP
297917407,SNP
297917459,SNP
297917474,SNP
297917475,SNP
297921527,SNP
297921570,SNP
297921608,SNP
297921642,SNP
297921808,SNP
297925478,SNP
297925596,SNP
297925608,SNP
297925719,SNP
297925742,SNP
297925765,SNP
297925887,SNP
297929768,SNP
297929815,SNP
297930040,SNP
297930119,SNP
297934012,SNP
297934028,SNP
297934346,SNP
297934349,SNP
297938303,SNP
297938585,SNP
297947227,SNP
298055752,CX
298055794,SNP
298210543,SNP
298214577,SNP
298240936,SNP
298241038,SNP
298245448,SNP
298245502,SNP
298249624,SNP
298250090,SNP
298254380,SNP
298254384,SNP
298254474,SNP
298254517,SNP
298258134,SNP
298258354,SNP
298258399,SNP
298258513,SNP
298258611,SNP
298258714,SNP
298262408,SNP
298262599,SNP
298262644,SNP
298262663,SNP
298262837,SNP
298262867,SNP
298266716,SNP
298266797,SNP
298266805,SNP
298266903,SNP
298266950,SNP
298267207,SNP
298270808,SNP
298275024,SNP
298275090,SNP
298275356,SNP
298279629,SNP
298288301,SNP
298405402,CX
298542439,SNP
298547259,SNP
298547436,SNP
298586553,SNP
298586733,SNP
298590924,SNP
298591075,SNP
298591130,SNP
298595196,SNP
298595394,MB
298599271,SNP
298599672,SNP
298603633,SNP
298603693,SNP
298603730,SNP
298603963,SNP
298607679,SNP
298612190,SNP
298616588,SNP
298616761,SNP
298625276,SNP
298927224,CX
298927362,SNP
298931489,SNP
298931773,SNP
298935111,SNP
298935146,SNP
298936099,SNP
298944444,CX
298944479,SNP
298944620,SNP
298948785,SNP
298957166,SNP
298957344,SNP
298961895,SNP
298962041,SNP
299043307,SNP
299043389,SNP
299078990,CX
299082033,SNP
299083134,SNP
299263690,SNP
299267723,SNP
299268507,SNP
299272434,SNP
299272806,SNP
299289811,INP
299290105,SNP
299293552,SNP
299298381,SNP
299298593,SNP
299604675,SNP
299604862,SNP
299609112,SNP
299613271,SNP
299613480,MB
299617484,SNP
299617529,SNP
299617731,SNP
299617849,SNP
299617872,SNP
299621755,SNP
299626157,SNP
299954299,SNP
299954300,SNP
299958695,SNP
299958696,SNP
300455904,CX
300968622,MB
300972942,SNP
301037686,NotPrimary
301309622,MB
301314150,MB
301314154,MB
301314208,MB
301318641,MB
324370873,SNP
324721026,SNP
324725187,SNP
324790113,SNP
324846570,SNP
325113795,SNP
325122109,SNP
325122525,SNP
