bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post,type_pre,type_post,0.0,color
980598738,452689494,SLP(R),SLP(R),9780,25588,12401,9777,25619,12391,0.97,0.616897,LC41,oviEN,1,#4e90d3
980598738,452689494,SCL(R),SCL(R),11137,19781,16179,11130,19793,16180,0.629,0.691,LC41,oviEN,1,#4e90d3
980598738,452689494,SCL(R),SCL(R),11150,19842,16101,11143,19837,16132,0.992,0.690137,LC41,oviEN,1,#4e90d3
980598738,452689494,SCL(R),SCL(R),11131,19799,16116,11129,19807,16149,0.994,0.465818,LC41,oviEN,1,#4e90d3
980598738,452689494,AVLP(R),AVLP(R),10357,22574,15329,10338,22601,15324,0.971,0.608889,LC41,oviEN,1,#4e90d3
950229431,452689494,AVLP(R),AVLP(R),7721,22495,17665,7725,22500,17657,0.94,0.915489,PPM1201,oviEN,4,#ff6a88
950229431,452689494,SLP(R),SLP(R),15346,21141,9153,15326,21131,9149,0.876,0.984448,PPM1201,oviEN,4,#ff6a88
950229431,452689494,PLP(R),PLP(R),12040,19312,17282,12040,19326,17278,0.946,0.817997,PPM1201,oviEN,4,#ff6a88
950229431,452689494,SLP(R),SLP(R),15469,21079,8855,15449,21069,8852,0.961,0.995403,PPM1201,oviEN,4,#ff6a88
949534412,452689494,SLP(R),SLP(R),11814,27077,9605,11825,27086,9624,0.99,0.88266,aSP-g1,oviEN,4,#ff6a88
948851462,452689494,SMP(R),SMP(R),20907,32207,10870,20893,32237,10851,0.912,0.352757,AVLP494,oviEN,4,#ff6a88
924049792,452689494,SMP(R),SMP(R),20364,30762,9537,20355,30732,9548,0.93,0.600743,,oviEN,3,#e7cf57
924049792,452689494,SMP(R),SMP(R),22556,28267,9799,22555,28287,9803,0.89,0.882923,,oviEN,3,#e7cf57
924049792,452689494,SMP(R),SMP(R),22304,28234,9648,22314,28216,9645,0.886,0.925288,,oviEN,3,#e7cf57
924049792,452689494,SMP(R),SMP(R),22365,28278,9709,22380,28285,9715,0.904,0.95492,,oviEN,3,#e7cf57
924049792,452689494,SMP(R),SMP(R),17963,32015,10218,17946,32024,10217,0.978,0.709878,,oviEN,3,#e7cf57
924049792,452689494,SMP(R),SMP(R),19775,30737,8783,19795,30753,8797,0.955,0.729609,,oviEN,3,#e7cf57
919846263,452689494,SLP(R),SLP(R),11940,27418,9975,11966,27400,9994,0.987,0.368955,SLP005,oviEN,2,#9467bd
917643796,452689494,AVLP(R),AVLP(R),8928,23570,16443,8922,23568,16427,0.877,0.871,OA-ASM2,oviEN,1,#4e90d3
917497441,452689494,SCL(R),SCL(R),11037,19675,13160,11051,19659,13164,0.995,0.83181,LHAD2c2,oviEN,1,#4e90d3
917497441,452689494,SLP(R),SLP(R),11596,20550,11451,11559,20560,11456,0.991,0.46993563,LHAD2c2,oviEN,1,#4e90d3
917497441,452689494,LH(R),LH(R),7763,22102,14645,7743,22109,14673,0.981,0.615502,LHAD2c2,oviEN,1,#4e90d3
917497441,452689494,SLP(R),SLP(R),11566,20535,11545,11544,20535,11538,0.989,0.856936,LHAD2c2,oviEN,1,#4e90d3
888159271,452689494,SLP(R),SLP(R),8494,24591,12684,8504,24591,12703,0.978,0.456351,AVLP463,oviEN,1,#4e90d3
888146447,452689494,SMP(R),SMP(R),17649,31723,9749,17689,31736,9744,0.969,0.45734185,AVLP493,oviEN,4,#ff6a88
887148641,452689494,SIP(R),SIP(R),12887,28002,12951,12880,28002,12968,0.996,0.977025,aSP-g1,oviEN,2,#9467bd
885119984,452689494,AVLP(R),AVLP(R),8682,22884,16326,8677,22900,16335,0.667,0.699,IB059,oviEN,1,#4e90d3
885119984,452689494,SCL(R),SCL(R),11533,21034,13912,11553,21045,13944,0.992,0.334261,IB059,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),6893,22345,16878,6864,22334,16855,0.996,0.907144,PLP085,oviEN,1,#4e90d3
884446447,452689494,SCL(R),SCL(R),11286,20429,13621,11269,20448,13620,0.994,0.682994,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),9108,20920,17257,9116,20916,17283,0.951,0.626619,PLP085,oviEN,1,#4e90d3
884446447,452689494,SCL(R),SCL(R),9539,23226,13404,9561,23226,13419,0.991,0.593157,PLP085,oviEN,1,#4e90d3
884446447,452689494,PLP(R),PLP(R),11157,20155,16683,11161,20122,16678,0.983,0.589921,PLP085,oviEN,1,#4e90d3
884446447,452689494,SCL(R),SCL(R),9469,23209,13411,9446,23206,13437,0.984,0.891814,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),8276,22584,17474,8289,22601,17487,0.985,0.896386,PLP085,oviEN,1,#4e90d3
884446447,452689494,SCL(R),SCL(R),10827,21025,15273,10830,21017,15253,0.985,0.975904,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),9086,21009,17312,9108,21001,17324,0.999,0.89831,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),6899,22351,16921,6909,22339,16949,0.999,0.736362,PLP085,oviEN,1,#4e90d3
884446447,452689494,PLP(R),PLP(R),11179,20181,16823,11189,20200,16829,0.996,0.967391,PLP085,oviEN,1,#4e90d3
884446447,452689494,PLP(R),PLP(R),11237,20133,16793,11252,20140,16802,0.997,0.913181,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),9037,22594,15789,9042,22611,15773,0.992,0.942369,PLP085,oviEN,1,#4e90d3
884446447,452689494,AVLP(R),AVLP(R),9097,21058,17261,9116,21071,17261,0.971,0.894778,PLP085,oviEN,1,#4e90d3
884446447,452689494,SCL(R),SCL(R),9486,23255,13524,9474,23274,13549,0.959,0.915991,PLP085,oviEN,1,#4e90d3
884446447,452689494,PLP(R),PLP(R),10274,19637,16606,10283,19652,16602,0.958,0.875314,PLP085,oviEN,1,#4e90d3
