,node1,node2,total_weight
0,1,19,4
1,1,21,2
2,1,24,3
3,1,28,1
4,1,47,1
5,1,59,1
6,1,70,1
7,1,76,2
8,1,84,41
9,1,93,1
10,1,100,27
11,1,101,1
12,1,107,2
13,1,109,29
14,1,113,7
15,1,115,5
16,1,117,41
17,1,118,1
18,1,121,1
19,1,122,12
20,1,123,44
21,1,129,1
22,1,133,10
23,1,139,2
24,1,145,1
25,1,151,1
26,1,152,3
27,1,153,2
28,1,154,15
29,1,155,45
30,1,159,2
31,1,170,3
32,1,174,1
33,1,185,20
34,1,190,1
35,1,203,4
36,1,217,1
37,1,220,1
38,1,221,5
39,1,227,1
40,1,229,3
41,1,233,1
42,1,262,1
43,1,264,7
44,1,266,12
45,1,272,1
46,1,275,1
47,1,294,15
48,1,303,6
49,1,309,2
50,1,315,1
51,1,319,1
52,1,321,1
53,1,323,108
54,1,326,2
55,1,329,2
56,1,342,1
57,1,347,2
58,1,353,4
59,1,365,4
60,1,367,1
61,1,375,6
62,1,386,1
63,1,391,12
64,1,397,40
65,1,404,2
66,1,406,1
67,1,411,1
68,1,421,1
69,1,423,2
70,1,424,1
71,1,428,18
72,1,432,1
73,1,436,1
74,1,445,1
75,1,446,3
76,1,455,1
77,1,456,1
78,1,463,1
79,1,469,1
80,1,472,4
81,1,474,5
82,1,475,5
83,1,483,1
84,1,489,4
85,1,501,1
86,1,503,16
87,1,518,2
88,1,522,9
89,1,523,5
90,1,526,1
91,1,527,4
92,1,529,1
93,1,530,2
94,1,534,8
95,1,536,2
96,1,546,4
97,1,551,1
98,1,562,1
99,1,564,23
100,1,571,1
101,1,574,1
102,1,583,1
103,1,589,4
104,1,590,1
105,1,591,1
106,1,594,6
107,1,610,1
108,1,613,1
109,1,619,1
110,1,622,1
111,1,629,5
112,1,630,1
113,1,632,16
114,1,635,9
115,1,638,6
116,1,648,5
117,1,656,4
118,1,673,1
119,1,674,1
120,1,684,1
121,1,698,2
122,1,699,2
123,1,701,1
124,1,703,1
125,1,704,6
126,1,724,1
127,1,727,7
128,1,729,1
129,1,732,2
130,1,746,1
131,1,749,3
132,1,752,1
133,1,764,1
134,1,790,4
135,1,803,3
136,1,821,1
137,1,822,1
138,1,827,13
139,1,830,18
140,1,858,1
141,1,864,1
142,1,886,1
143,1,892,1
144,1,910,1
145,1,913,2
146,1,934,2
147,1,935,1
148,1,941,1
149,1,942,17
150,1,953,1
151,1,963,1
152,1,966,1
153,1,978,1
154,1,988,1
155,1,989,5
156,1,992,12
157,1,997,1
158,1,998,7
159,1,1002,1
160,1,1011,1
161,1,1017,1
162,1,1054,1
163,1,1057,6
164,1,1059,5
165,1,1063,1
166,1,1064,1
167,1,1088,3
168,1,1090,1
169,1,1091,9
170,1,1092,3
171,1,1094,9
172,1,1130,6
173,1,1131,1
174,1,1134,9
175,1,1143,2
176,1,1145,2
177,1,1146,3
178,1,1155,1
179,1,1164,1
180,1,1203,1
181,1,1208,1
182,1,1213,8
183,1,1214,6
184,1,1240,3
185,1,1248,1
186,1,1280,2
187,1,1294,1
188,1,1298,67
189,1,1307,1
190,1,1315,1
191,1,1317,1
192,1,1325,2
193,1,1341,1
194,1,1344,2
195,1,1345,2
196,1,1349,53
197,1,1399,1
198,1,1407,1
199,1,1415,4
200,1,1420,1
201,1,1424,59
202,1,1451,4
203,1,1453,1
204,1,1459,1
205,1,1476,8
206,1,1486,1
207,1,1489,1
208,1,1504,1
209,1,1514,70
210,1,1525,46
211,1,1555,3
212,1,1556,2
213,1,1563,7
214,1,1566,21
215,1,1567,1
216,1,1573,1
217,1,1582,2
218,1,1590,3
219,1,1592,2
220,1,1606,86
221,1,1629,8
222,1,1648,17
223,1,1652,1
224,1,1667,1
225,1,1673,7
226,1,1697,14
227,1,1701,1
228,1,1704,6
229,1,1723,1
230,1,1744,1
231,1,1781,1
232,1,1783,1
233,1,1797,32
234,1,1823,60
235,1,1843,5
236,1,1866,1
237,1,1874,31
238,1,1887,3
239,1,1902,18
240,1,1913,1
241,1,1934,1
242,1,1997,5
243,1,2143,2
244,1,2151,18
245,1,2159,5
246,1,2194,1
247,1,2204,1
248,1,2212,1
249,1,2214,1
250,1,2216,7
251,1,2238,2
252,1,2257,30
253,1,2262,7
254,1,2266,3
255,1,2269,3
256,1,2271,1
257,1,2274,4
258,1,2275,2
259,1,2280,3
260,1,2284,1
261,1,2286,101
262,1,2297,1
263,1,2302,1
264,1,2317,14
265,1,2318,1
266,1,2331,1
267,1,2353,1
268,1,2359,12
269,1,2366,10
270,1,2367,3
271,1,2373,6
272,1,2381,8
273,1,2382,2
274,1,2384,15
275,1,2389,24
276,1,2390,3
277,1,2395,2
278,1,2402,1
279,1,2410,1
280,1,2413,10
281,1,2419,1
282,1,2423,1
283,1,2429,1
284,1,2450,1
285,1,2468,4
286,1,2474,10
287,1,2481,2
288,1,2486,1
289,1,2487,1
290,1,2492,1
291,1,2501,1
292,2,50,32
293,2,83,1
294,2,105,2
295,2,110,2
296,2,113,4
297,2,124,10
298,2,151,6
299,2,158,14
300,2,160,8
301,2,164,2
302,2,222,47
303,2,256,1
304,2,260,2
305,2,268,3
306,2,271,1
307,2,275,1
308,2,277,1
309,2,309,4
310,2,313,1
311,2,314,2
312,2,323,1
313,2,326,1
314,2,329,1
315,2,360,2
316,2,383,14
317,2,385,24
318,2,401,25
319,2,402,29
320,2,423,1
321,2,455,1
322,2,457,11
323,2,465,1
324,2,475,1
325,2,489,3
326,2,506,4
327,2,528,2
328,2,531,2
329,2,541,1
330,2,562,1
331,2,567,24
332,2,569,2
333,2,601,8
334,2,602,9
335,2,611,2
336,2,623,3
337,2,667,18
338,2,688,1
339,2,689,9
340,2,690,2
341,2,712,10
342,2,733,1
343,2,753,3
344,2,755,1
345,2,757,4
346,2,758,3
347,2,759,1
348,2,762,1
349,2,763,2
350,2,769,1
